"Gene","Protein","logFC","P.Value","adj.P.Val","1","2","3","4","5","6","7","8","9","10"
"RBM47","A0AV96",0.414489961571757,0.0167862700636484,0.0734632639161505,9.87517183680093,9.63189923863377,10.0652013209568,9.84452675972339,10.105836502419,9.9710386988757,10.0295296514844,9.351487577162,10.03358990111,9.23792713051752
"UBA6","A0AVT1",0.100778307227964,0.177177650437775,0.261888233394408,11.085796138776,10.872503123911,10.9582099432096,10.8408019795126,11.1940341264577,11.1383489235742,10.7730801460413,10.7996238609154,11.0037053005887,10.8596562310202
"ESYT2","A0FGR8",-0.29619383787968,0.0358405813896254,0.0921523321450888,8.9326058556978,9.04602130678797,8.73643901508479,8.84818585372792,8.80813981149172,9.01271296882904,8.73035763704253,9.44449257305189,8.82811084012892,9.16520964644736
"SHTN1","A0MZ66",0.301531724304345,0.0197757469452742,0.0761827970086739,10.9201547048554,10.697211473274,10.5771752286012,10.3397242479128,10.8478219479046,10.7943146327936,10.5375728416338,10.1395362267713,10.6903831970403,10.0946627177618
"SLC5A10","A0PJK1",1.61785630163697,0.0676245698623201,0.133628643119645,10.2962400162339,9.87027503366315,10.557409958838,10.1830832328592,10.9962902097522,10.8700347838213,11.0545365754375,6.4469775451294,10.9449391575147,8.38976381411844
"ILVBL","A1L0T0",0.429898387308298,0.036233575638107,0.0924818882953589,10.1211995529968,9.80450902645347,9.94362877098447,9.87418340288814,10.3576217640853,10.2988466567446,10.4193646847905,9.56108613921639,10.4722200697276,9.62591768074054
"C1orf226","A1L170",-0.303403319026534,0.11613682665877,0.190745668226504,5.75001406826225,6.00372905610515,5.87236979622412,5.80032685067801,5.79356144146537,5.69613873747779,5.35584322268518,6.22528499385226,5.57617908223357,6.13950456788995
"C17orf89","A1L188",0.374664177761821,0.0929508912502843,0.163081272456808,7.35120277069325,7.49551173717404,8.11453958716192,7.83910031454158,7.72156766640591,7.6641021949995,7.8326096130778,6.76636056328825,8.00328900744019,7.38481294596661
"PLEKHG3","A1L390",0.0463979182252061,0.671368360886115,0.73872915870661,6.92412025321703,6.6490913784277,6.58174919327528,6.3287874642795,7.09521488585128,6.99872960542707,6.77481755789213,7.02626957952564,6.82503185837047,6.96606612982025
"SH3PXD2B","A1X283",-0.378052535093371,0.0307234874883577,0.0858685342161061,7.38622242845956,7.47241576882309,6.76386082554925,6.82237461974687,6.95800012722129,7.28621863851514,6.82348067135384,7.61652560768303,6.85654463988876,7.48083673317142
"NBAS","A2RRP1",0.284052233479269,0.00990462545130349,0.0732418365679817,9.05424676776622,8.68384317248164,8.89288152022808,8.71115353913399,9.19181388438594,9.07570465451113,9.14482704295818,8.83926272468032,9.25318171045875,8.80672566759374
"TARSL2","A2RTX5",0.0334874889275007,0.622182943669083,0.695314167957526,5.98569016912704,5.91996242907606,5.97126932959613,5.90395511747093,6.05535459125227,6.08583747004489,6.3119812594951,6.17447840484632,6.14602888803277,6.2186533714276
"VWA8","A3KMH1",0.683272952717223,0.0145519213420701,0.0732418365679817,12.1630354915296,11.6285381284398,12.3031297866664,11.9714820034501,12.1110355715527,11.982864866182,12.1823789842909,10.8269230222912,12.558824834595,11.4922318846855
"GTPBP10","A4D1E9",0.348118594833558,0.0474266166281274,0.106028488311788,7.52736524860198,7.50811844177796,7.33606976362136,7.14869204480953,8.13397362242368,7.86815715668685,7.79191935237735,6.87218186420573,7.49665416863964,7.14823967401617
"WDR91","A4D1P6",0.465817880859199,0.00431866122041727,0.0732418365679817,8.61175555089044,8.18909190875956,8.63749426066917,8.32218505405688,8.94367780737389,8.75358162191871,8.63644249841929,7.89048284701351,8.67506342799568,8.02000270930383
"KLRG2","A4D1S0",-2.03728998374552,0.00183280935603662,0.0732418365679817,4.70762537454637,6.64800689955911,3.8316305346908,5.10778224396771,4.45818168956045,5.44130527482306,4.38492397283534,7.87465388050976,4.86924429928064,7.36630749078158
"TRAPPC13","A5PLN9",0.0830539794208586,0.324851616477073,0.419314789721158,7.45223744878097,7.44332858251205,7.52539542873376,7.65406991240508,7.80270284981007,7.66128208375055,7.66664753714777,7.49754534257239,7.77748965439578,7.55297710052399
"CNOT1","A5YKK6",0.0418682071147993,0.538689402769601,0.617950818372405,9.86811080176188,9.7507099500645,9.74807712146433,9.66599605937518,9.8213289877645,9.86828088251627,9.75297155885418,9.80128226527031,9.83265010110876,9.72752837815339
"ASPDH","A6ND91",2.00403483562866,0.0298908872261158,0.0851466081361496,9.79149440320375,8.5292705202461,10.418268746617,9.78127915351927,10.2123067305131,9.92557768923838,10.7709492309374,5.99872018590612,10.6382465882713,7.57624397248936
"PALM3","A6NDB9",-0.363127073074734,0.0213527990211628,0.0772018845866402,9.79646211277495,10.3109319995519,10.0269069061399,10.24321638062,9.99571757288184,9.95937661270732,10.0811015530536,10.7353402998077,10.1072375248933,10.5741957424304
"PGP","A6NDG6",0.0165166120967313,0.842491705104878,0.881337992556652,8.61175555089044,8.83015525757403,9.01268281356869,8.82248893454645,8.68137150739708,8.70099968560047,8.91221017750811,8.84982645948924,8.94942544608904,8.8813920977595
"C5orf51","A6NDU8",-0.0293768440715864,0.73157407646213,0.788889439826039,5.08561831004252,5.10366869717299,4.96127207730988,4.79074930229235,5.06594241259529,5.20160182347752,5.22616515615947,5.1590274424675,4.99211470325752,5.22294961431226
"TUBAL3","A6NHL2",1.05501696493572,0.00336368662540366,0.0732418365679817,7.45381043255794,6.00711599541032,7.42426476446179,6.74744077631304,7.38971862986462,7.01472593798051,8.05460698367376,6.25248447698622,9.14567539127239,8.17122419046183
"NCF1B","A6NI72",-0.321162840701159,0.0140124500109813,0.0732418365679817,5.76021827062341,6.42431704590437,5.54001802749061,5.82799413733183,5.72062452090349,5.92775778172404,5.52716842842198,5.69782310593952,5.31522227224438,5.59117365228989
"TTC36","A6NLP5",2.48674062729377,0.0220083011235411,0.07767887247462,8.74812833262688,6.60729717387877,9.84810656377129,9.17700393375129,8.62251681908487,8.28535163169663,9.92695444088122,4.50237995209634,9.8447886449198,5.98475897339217
"ZSWIM8","A7E2V4",0.110877864184647,0.234209019703272,0.323755085908327,6.40860941050905,6.19999396712811,6.25065977480425,6.10870869456768,6.35124649602498,6.23741455739961,6.65557025283484,6.39688301504659,6.28077798192257,6.44947436103045
