"","1","2","3","4","5","6","7","8","9","10"
"DDX11L1",5.23428680992247,5.45597484320355,6.0310869392146,5.66355443791989,5.41637069411338,5.72818301728152,6.05233332769617,5.88149963500382,5.95064128440682,5.93021071984028
"WASH7P",10.4191166721662,9.81631054301412,9.87712003816118,10.4545202496779,10.2878462684544,10.0315203357072,10.1847649764739,10.8215091145259,10.176394197265,9.70665768636298
"MIR6859-3",7.92228975382579,6.9851437795447,7.10156591996946,7.77324899507579,7.72047272929345,7.28549946180852,6.98901797956669,7.58989406054139,7.69027539075302,7.20112866433964
"MIR6859-2",7.92228975382579,6.9851437795447,7.10156591996946,7.77324899507579,7.72047272929345,7.28549946180852,6.98901797956669,7.58989406054139,7.69027539075302,7.20112866433964
"MIR6859-1",7.92228975382579,6.9851437795447,7.10156591996946,7.77324899507579,7.72047272929345,7.28549946180852,6.98901797956669,7.58989406054139,7.69027539075302,7.20112866433964
"MIR6859-4",7.92228975382579,6.9851437795447,7.10156591996946,7.77324899507579,7.72047272929345,7.28549946180852,6.98901797956669,7.58989406054139,7.69027539075302,7.20112866433964
"MIR1302-2",5.4054795749485,5.38934343889442,4.81607906382547,4.81607906382547,4.81607906382547,5.30937294376796,5.49798273850969,5.63428048067702,4.81607906382547,5.38342815818222
"MIR1302-11",5.4054795749485,5.38934343889442,4.81607906382547,4.81607906382547,4.81607906382547,5.30937294376796,5.49798273850969,5.63428048067702,4.81607906382547,5.38342815818222
"MIR1302-9",5.4054795749485,5.38934343889442,4.81607906382547,4.81607906382547,4.81607906382547,5.30937294376796,5.49798273850969,5.63428048067702,4.81607906382547,5.38342815818222
"MIR1302-10",5.4054795749485,5.38934343889442,4.81607906382547,4.81607906382547,4.81607906382547,5.30937294376796,5.49798273850969,5.63428048067702,4.81607906382547,5.38342815818222
"FAM138A",6.00564181338357,5.7562709351191,5.53113784400155,4.81607906382547,6.23876677297488,5.24380002357861,5.70319270792506,5.16877680639384,6.28439247708576,5.4856831445343
