"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HPCA",1.007406,0.142437,4.31412838026627,0.000611745440435877,0.00401521495500502,-0.681514394069497
"ACOT13",1.1261998,0.0814819,4.31386963194502,0.000612064054446417,0.00401521495500502,-0.682037853186443
"GLUD1",1.095214,0.417893,4.31370837946206,0.000612262701073901,0.00401521495500502,-0.682364075947131
"SLC16A10",0.957008,0.370476,4.31306311981325,0.000613058254406161,0.00401623549546249,-0.683669487298603
"RUNX1",-0.90804,-0.34112,-4.31220588526678,0.000614116789129438,0.00401656809457148,-0.685403778029215
"DLG4",0.890546,0.344607,4.31198568345625,0.00061438900108168,0.00401656809457148,-0.685849280205264
"PLAU",-1.67214,0.34549,-4.3063811460188,0.000621358932244827,0.00405790703305779,-0.697189065620694
"C3orf55",-1.4923146,0.1192227,-4.30143031657785,0.000627583055799995,0.00409429444719415,-0.707207689608488
"OXTR",1.177686,0.085457,4.29654784558104,0.000633783604488979,0.00413045264981603,-0.717089348317003
"CDKN1A",-1.4205,-0.18517,-4.29585214003667,0.000634672201440027,0.00413195304588963,-0.718497500226025
"OSBPL10",0.941964,0.348738,4.29523183599935,0.00063546556379647,0.0041328309620587,-0.719753057742991
"SLC6A12",-1.43034,0.03995,-4.29336294896278,0.000637861977499513,0.00414412191592851,-0.723536003253946
"SMIM10",-0.966304,-0.314908,-4.28382494494753,0.000650236745112763,0.00422015078834302,-0.742845587465565
"WHAMMP2",-0.8098054,0.1718973,-4.2824591039011,0.000652028765055265,0.00422740963789963,-0.745611130709443
"RTKN",1.201912,0.444804,4.27970755033208,0.000655654200870893,0.00424652813690994,-0.751182764478608
"OGN",-1.384294,-0.540993,-4.27655177745743,0.000659837577514345,0.00426921715101034,-0.757573414466028
"NAMPT",-0.8829912,-0.0653844,-4.27443771201312,0.000662655268819932,0.00428303240691441,-0.761854841305751
"ACAD8",1.00525,0.237335,4.27036976576603,0.000668111754000231,0.00431385737459408,-0.770093969054426
"FAM49A",-0.822404,-0.157058,-4.26794250292102,0.000671389352433085,0.00433056482617682,-0.77501051824368
"SNX29",1.07646,0.39159,4.26471913841334,0.000675767329806434,0.00435432829760285,-0.781540101569689
"TNFAIP8L1",0.990882,0.159379,4.26054903528123,0.000681474426310095,0.00438659846104836,-0.789988318630923
"MYL3",1.347366,0.013077,4.25841469351072,0.000684414435973632,0.00440100922148618,-0.794312640516154
"LIG4",-1.127508,-0.115986,-4.24830992669436,0.000698510202288297,0.00448368724681269,-0.814788827126598
"PLEKHH2",-1.374588,0.09106,-4.24817473433165,0.00069870078511517,0.00448368724681269,-0.815062815403476
"FAM131B",-1.043832,-0.103576,-4.24681149142808,0.000700625537280289,0.00449144624307569,-0.817825691135423
"MGAM",1.75338,0.73261,4.24168039407726,0.000707918716911118,0.00453356925238181,-0.828225709402064
"RGL1",1.167602,0.044721,4.23939911829134,0.000711186074256866,0.00454985097047512,-0.832849968841108
"AQP3",-1.10974,0.088912,-4.23750719863856,0.000713907441908542,0.00456261008698372,-0.836685184392801
"TRABD2B",1.3923,0.46679,4.23373879973161,0.000719359657841358,0.00459277844619772,-0.844324853789837
"FZD7",0.8794,0.15324,4.22440800496245,0.000733043180301197,0.00467538516216495,-0.863244213486605
"GALNT10",1.44989,0.091215,4.21515746966354,0.000746871079761809,0.00475700662388246,-0.88200506507634
"LOC692247",-0.97659,0.086385,-4.21444656043957,0.000747944704806562,0.00475700662388246,-0.883447019677849
"LPPR1",1.34536,1.06982,4.21433433668291,0.000748114330428934,0.00475700662388246,-0.883674648098961
"GLTPD2",1.17284,0.44762,4.21049723841889,0.000753937740485899,0.00478918346081934,-0.891457968429262
"GCSH",1.192686,0.342397,4.2086205772325,0.000756802680441776,0.00480252135738381,-0.895264917777525
"BASP1",-1.028286,-0.412197,-4.20777083620659,0.00075810355595177,0.00480591708803365,-0.896988736921253
"ABHD6",1.0783,0.31171,4.19799482705035,0.000773234710785683,0.00489689308263466,-0.916823194487101
"AIF1",1.367456,-0.113292,4.19704986872239,0.000774713522400166,0.00490131256712041,-0.918740648720517
"CAMSAP3",0.860008,0.151156,4.19442076208207,0.000778843124204491,0.0049224767850024,-0.924075695677405
"MAGEA8",0.932586,0.014073,4.1929804293762,0.000781114994160921,0.00493186891685507,-0.926998588797373
"S100A1",-1.008288,0.647096,-4.1911942388781,0.000783941776723678,0.00494474230222895,-0.93062346956974
"ARSF",1.05855,-0.179045,4.18584880832232,0.000792463764437774,0.00499347649157778,-0.941472312427697
"LOC100996388",-1.385608,-0.020356,-4.18411395032686,0.000795249815106875,0.0050060058571823,-0.944993579302841
"RNF141",-0.852206,0.104717,-4.18062854833624,0.000800877310779368,0.00503637875997126,-0.952068359442807
"TWIST2",-1.21692,-0.31514,-4.17719492989541,0.000806460872437546,0.00506641485026831,-0.959038557105346
"GPS1",0.902816,0.273432,4.17520611611706,0.000809713093517982,0.00508175937491885,-0.963076060002629
"SSPN",-1.15252,-0.29206,-4.17084143399848,0.000816897384596919,0.0051217262594708,-0.971937436261647
"DCPS",-0.986252,0.122466,-4.16774488042705,0.000822033673513831,0.00514384556702349,-0.97822470339498
"ULBP2",-0.837002,-0.155059,-4.16771757059169,0.000822079118686252,0.00514384556702349,-0.97828015534945
"MPZL1",-0.992576,-0.216392,-4.16693685529384,0.000823379357641453,0.00514384556702349,-0.979865392324075
"NAPRT1",1.407102,0.110031,4.16674226719046,0.000823703759537701,0.00514384556702349,-0.980260506203154
"ACER2",-1.47087,-0.633165,-4.16610446297272,0.000824767969188916,0.00514537154535749,-0.981555588059654
"CYP2C8",1.37136,0.29976,4.16269606279234,0.000830478846892541,0.00517585426325481,-0.988476749381905
"BICD1",1.106814,0.205093,4.16143467053739,0.000832602543845993,0.00518208890638894,-0.991038281913922
"ZBED5",-1.3256,-0.16794,-4.1611215289011,0.000833130609711033,0.00518208890638894,-0.99167419489626
"APH1B",-0.8624,0.06,-4.14967039573341,0.000852677323529541,0.00529841869551623,-1.01493143764672
"ENO2",-1.218742,-0.088589,-4.14730531714722,0.000856772272133517,0.00531859819971311,-1.01973558891942
"CYP24A1",1.85954,0.07603,4.14677141098044,0.000857699455750377,0.0053190926722227,-1.02082013682669
"C20orf24",-1.0072,0.09714,-4.14558169450988,0.000859769198323995,0.00532666484568746,-1.02323690394719
"WNT7A",-0.8234,-0.12388,-4.1436196923681,0.000863193595369332,0.00534260651335102,-1.02722260317762
"CD55",-0.907064,-0.321848,-4.13923065078494,0.000870904407751758,0.00538317001465332,-1.03613926281785
"SCN9A",1.08034,0.06525,4.13877136866721,0.000871715331728289,0.00538317001465332,-1.03707237283578
"LMO7",-0.836346,0.196087,-4.13842886319865,0.000872320571208162,0.00538317001465332,-1.03776823664877
"SCN7A",1.034,0.04002,4.13418730525279,0.000879851350094571,0.00542430950215474,-1.04638614054217
"WDR72",1.63407428,0.84428286,4.13315377948644,0.000881696354794044,0.0054303496787904,-1.04848614332587
"RAB25",-0.914044,-0.160298,-4.13265874940215,0.000882581454989797,0.00543047177599605,-1.04949200112442
"GCHFR",0.9312896,0.3229952,4.13193597618587,0.000883875378055723,0.0054331066333768,-1.05096063032397
