"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LTBP1",-3.5432,-0.4722,-16.7655342261947,3.88617188592185e-11,1.21605334326903e-07,15.8187103136327
"FABP1",5.08316,0.94202,16.682058637811,4.17380734538314e-11,1.21605334326903e-07,15.7521324328212
"RBP5",3.28846,0.80917,15.9352644869149,8.02339337428624e-11,1.21605334326903e-07,15.1393489700776
"PIP5K1B",4.16926,0.86597,15.8220805880463,8.87998803745905e-11,1.21605334326903e-07,15.0436984120217
"SLC7A7",3.9732,0.6796,15.495216556875,1.19463473500855e-10,1.21605334326903e-07,14.7632032179226
"ASS1",4.27512,0.63084,15.0962739329966,1.72894148919201e-10,1.21605334326903e-07,14.4120245605169
"ALPI",3.86438,0.61941,15.0532923306125,1.80011708517577e-10,1.21605334326903e-07,14.3735947329253
"SLC7A8",3.4375,0.70645,15.0442901301335,1.81541487540498e-10,1.21605334326903e-07,14.3655310068033
"HPD",5.21908,0.88206,14.9854378699936,1.91889050680581e-10,1.21605334326903e-07,14.3126867492346
"KHK",3.59066,0.78907,14.9751438037081,1.93762482993791e-10,1.21605334326903e-07,14.3034208121917
"MAPT",3.366,0.4338,14.4638086703401,3.1633324152558e-10,1.80482493074049e-07,13.8344593521955
"APBA1",3.64006,0.63417,14.1905919974207,4.13621758038883e-10,2.16324179454336e-07,13.5767019579778
"ASPDH",3.3254,0.3563,14.0430535551986,4.78966860186063e-10,2.31230462655979e-07,13.4353640097326
"SLC25A42",2.51762,0.26859,13.5182227225657,8.1602551604839e-10,3.65812581337121e-07,12.9199715641464
"PIPOX",3.30368,0.51376,13.3802151262492,9.41527365900231e-10,3.767738578142e-07,12.7810802584128
"ACSF2",3.73992,0.39984,13.3135032990107,1.0093980334698e-09,3.767738578142e-07,12.7134256878087
"CYP4F2",2.87778,0.53111,13.3029711796814,1.02057928343553e-09,3.767738578142e-07,12.7027137855918
"APOE",4.32306,0.36547,13.1111568169003,1.24896262715561e-09,4.18346432493598e-07,12.5061344407868
"AGMAT",3.8053,0.69775,13.0617661209666,1.31616015321852e-09,4.18346432493598e-07,12.4550550978992
"TNC",-2.9782,-0.2111,-13.0496930470776,1.33316262744932e-09,4.18346432493598e-07,12.4425402305141
"CRYAA",3.5343,0.70165,12.9526501805439,1.47859522524972e-09,4.41888744460346e-07,12.3415297721412
"LRP2",3.375,0.4457,12.8198743974111,1.70544066832905e-09,4.86515710656049e-07,12.2021147972034
"CYP4F3",3.84334,0.39733,12.7369255751669,1.8656800969298e-09,4.91352940590217e-07,12.1143002844537
"PRLR",3.59254,0.87133,12.7303841925734,1.87897874030676e-09,4.91352940590217e-07,12.1073515135471
"SCARA3",-3.47056,-0.32612,-12.6634112985488,2.02106754710151e-09,5.07368797024362e-07,12.0360073667787
"PLEC",2.38748,0.43326,12.5021006147689,2.41220860604705e-09,5.52179729169994e-07,11.8626573599673
"LDB3",2.50914,0.34023,12.4838633812068,2.46123773059757e-09,5.52179729169994e-07,11.8429234600233
"TINAG",2.7503,0.65625,12.481443506969,2.46782234388623e-09,5.52179729169994e-07,11.8403029122445
"PLG",3.26494,0.59273,12.4512748659078,2.55149970457773e-09,5.52179729169994e-07,11.8075914269303
"CLCN4",2.89996,0.68422,12.3918999930937,2.72510036238805e-09,5.7009099581158e-07,11.7429892985115
"TFPI2",-3.35036,0.10878,-12.3269974105282,2.92928543309835e-09,5.93038560584685e-07,11.6720330651421
"ALPL",2.39396,0.42842,12.2705067445912,3.12022481606453e-09,6.11954092050655e-07,11.6099825939157
"MME",2.44288,0.44056,12.1815043861694,3.44831254462861e-09,6.5580634939664e-07,11.5116673602845
"NPL",2.93866,0.38887,12.154685399101,3.55420159937081e-09,6.56063801107388e-07,11.4819085796648
"MOXD1",-2.58168,-0.04444,-12.0966997526535,3.79511071816239e-09,6.80517567633918e-07,11.417353992995
"SLC5A12",4.61798,0.85061,12.0667714222822,3.92617181593828e-09,6.84462619911907e-07,11.3839208855794
"SLC39A5",3.48852,0.50994,11.9636934965482,4.41554835802937e-09,7.4897247283763e-07,11.2681720406221
"AKR1B1",-4.17114,0.40883,-11.9247394231038,4.61697967768661e-09,7.62530643609504e-07,11.2241858865772
"SLC12A3",3.29778,0.63631,11.8969587154157,4.76657152466907e-09,7.67051356123669e-07,11.1927343263547
"DPYS",2.96122,0.52699,11.7062728989075,5.94265525607634e-09,8.96104376194005e-07,10.9749885283969
"HECW1",2.97042,0.53399,11.6916915364152,6.04444620319904e-09,8.96104376194005e-07,10.958202912658
"ANPEP",4.43648,0.85356,11.6848146686823,6.09309261698518e-09,8.96104376194005e-07,10.9502797648275
"DPEP1",3.84294,0.73193,11.6782863941169,6.13965713453509e-09,8.96104376194005e-07,10.9427542638077
"OLFM1",-2.6073,-0.18375,-11.6066523189851,6.67610804123886e-09,9.52255774245797e-07,10.8599220929112
"FTCD",3.75496,0.60852,11.5745764412852,6.93221758904682e-09,9.66813279752396e-07,10.8226795016513
"PRAP1",3.23122,0.72539,11.4873443952417,7.68281152774143e-09,1.03979993832479e-06,10.7209158416136
"NDNF",3.1038,0.0453,11.4759649995631,7.78690202378351e-09,1.03979993832479e-06,10.7075887475129
"DDC",3.88176,0.64692,11.4422432576875,8.10423369850606e-09,1.04136983572718e-06,10.6680242941705
"DIO1",3.7605,0.72375,11.4395132539186,8.13051656319822e-09,1.04136983572718e-06,10.6648166363608
"SLC28A1",3.15536,0.49672,11.3519596973164,9.02318291861998e-09,1.12646991087765e-06,10.5615734978708
"PRODH2",3.82624,0.50708,11.3399126023332,9.15391418973238e-09,1.12646991087765e-06,10.5473110656625
"SLC13A3",5.07332,0.89994,11.2860672056996,9.76324025044679e-09,1.17834799638085e-06,10.4833960404302
"PSAT1",2.32494,0.60013,11.1577791310148,1.13948320816927e-08,1.3493201159378e-06,10.330002409642
"ALDH1B1",2.36674,0.46503,11.0795040316941,1.25302856437495e-08,1.42471013243839e-06,10.2356305432592
"SLC16A9",2.98176,0.61552,11.0751275334733,1.25972093489882e-08,1.42471013243839e-06,10.2303364925103
"ABCC2",2.99744,0.48568,11.0605142260387,1.28234261386764e-08,1.42471013243839e-06,10.2126459243106
"PLA2G12B",2.74724,0.34958,11.0531198513339,1.29395279714768e-08,1.42471013243839e-06,10.2036865137733
"PFKFB3",-3.6658,0.1289,-10.9875782833979,1.40186245219883e-08,1.51691185344825e-06,10.1240391343093
"APOM",3.5536,0.817,10.9720218313098,1.42884902214923e-08,1.5199078750862e-06,10.1050727307942
"ZNF204P",2.66762,0.47799,10.9084639571157,1.54495578445977e-08,1.61602375054491e-06,10.0273350243386
"RAB11FIP3",2.16836,0.52042,10.8455092153725,1.66985256277623e-08,1.69091949436001e-06,9.94994007333594
"CYP8B1",3.23134,0.69473,10.8398508937482,1.68159032035861e-08,1.69091949436001e-06,9.94296453238663
"GDA",5.0236,0.5184,10.8323021803631,1.697385725696e-08,1.69091949436001e-06,9.93365354760316
"PAH",5.00896,0.86992,10.8033192760043,1.75950606472822e-08,1.70744086138014e-06,9.89785150403847
"GLB1L2",1.98274,0.41803,10.7895264838625,1.78990982880627e-08,1.70744086138014e-06,9.88078394320596
"SYT6",2.69722,0.29739,10.7827076737834,1.80514567234996e-08,1.70744086138014e-06,9.87233911026225
"SPAG5",2.79366,0.30637,10.7748850047262,1.82279378126943e-08,1.70744086138014e-06,9.86264527778567
"ADH6",3.74328,0.43356,10.7560270089033,1.86609299444535e-08,1.72229406369691e-06,9.83925116552962
"GPD1",4.17962,0.37979,10.7174926979254,1.95799190672519e-08,1.77253812388222e-06,9.79133617912366
"C4A",3.2802,0.4013,10.7097541207352,1.97701830260923e-08,1.77253812388222e-06,9.78169563282186
"CLIC5",3.61606,0.07477,10.6835273659159,2.04296952655521e-08,1.80586996460007e-06,9.74897774848383
"UGT2B7",4.16602,0.95479,10.6521357454687,2.12498377451817e-08,1.83223208197146e-06,9.70972473664321
"SARDH",2.63584,0.16548,10.6427158527341,2.15026866192087e-08,1.83223208197146e-06,9.69792623084352
"A1CF",3.30578,0.61171,10.6389832540236,2.16037562246475e-08,1.83223208197146e-06,9.69324860913652
"BMP6",-2.2688,-0.0508,-10.6275789494565,2.19156838091842e-08,1.83390442115253e-06,9.67894813143805
"SLC2A2",2.72646,0.33757,10.612533143124,2.23345242933626e-08,1.84436150612031e-06,9.66006102067072
"SLC7A9",3.43004,0.55238,10.5932635314336,2.28833572914082e-08,1.86514221247893e-06,9.63583785662295
"SLC9A3R1",2.33124,0.43458,10.5154583030952,2.52488698461331e-08,2.03156291223502e-06,9.53764301717696
"AZGP1",4.1136,0.7406,10.4398704999846,2.77959927672556e-08,2.20819810895311e-06,9.44164642491085
"HNF4A",3.33248,0.64636,10.4269763291682,2.82569838870251e-08,2.21676038593712e-06,9.42521138844264
"ABCC6P1",2.88144,0.50268,10.4015104735967,2.91913677919489e-08,2.23931749308586e-06,9.39270126626571
"UGT2A3",2.686882,0.871359,10.3997240094338,2.92581316814915e-08,2.23931749308586e-06,9.3904180871857
"PCK2",2.76988,0.48166,10.3520535097644,3.11006845835461e-08,2.35166140296789e-06,9.32936928218378
"STRA6",2.8332,0.0346,10.3185546094868,3.24686856954337e-08,2.41652924045934e-06,9.28632596764383
"FAM131C",3.6232,0.4246,10.3123578651716,3.27286465008037e-08,2.41652924045934e-06,9.27835066429691
"GCNT3",-3.83248,0.28816,-10.3007270742838,3.32225350671857e-08,2.42447244280997e-06,9.26337068275231
"VAT1L",-2.16366,0.01381,-10.2508484922272,3.54317272624408e-08,2.55597149769056e-06,9.19896627656735
"HNF4G",2.63572,0.51734,10.2111363738696,3.73016177064035e-08,2.6602835536976e-06,9.14749951833963
"PRELP",-2.205,-0.3667,-10.1236180944649,4.18009264089146e-08,2.94766982182413e-06,9.0334791678842
"GJB1",2.05244,0.60858,10.1120764572382,4.24358192311419e-08,2.95919112771829e-06,9.01838091594748
"NQO2",2.09984,0.48608,10.0768464916534,4.44376447214176e-08,3.0647325084793e-06,8.97220544055058
"PKLR",2.90744,0.37488,10.0244690981965,4.76004879910711e-08,3.24718111556481e-06,8.90330571494832
"SLC22A6",4.35318,0.86721,10.006607332919,4.87328059332633e-08,3.28867838749635e-06,8.87974106694178
"BHLHE41",-2.09276,-0.2287,-9.95338588470139,5.22787670296674e-08,3.49044193487439e-06,8.80931988325688
"SLC27A2",3.16388,0.46726,9.9286721184231,5.40171776253854e-08,3.54448122770785e-06,8.77651341509821
"SLC4A11",-3.99234,-0.16383,-9.9258758561536,5.42176860834853e-08,3.54448122770785e-06,8.77279725556884
"SLC5A9",2.14576,0.39932,9.91101636999462,5.52964810791365e-08,3.57773933250166e-06,8.75303490094638
"ETNK2",2.40388,0.5768,9.89603069142227,5.64074479505014e-08,3.6123790136464e-06,8.7330799938778
"NOV",-2.46442,-0.12885,-9.87625646816687,5.79096532637567e-08,3.67112104932664e-06,8.70671060555676
"CAPN6",-3.31236,-0.2047,-9.86179496469393,5.90350066096032e-08,3.7050370148187e-06,8.68739838866804
"MAP4K2",2.00928,0.39496,9.83969818217315,6.07993831204188e-08,3.77798939073019e-06,8.65784494695938
"TMEM106A",2.32992,0.37664,9.77915312320368,6.59254263302156e-08,4.05635270243562e-06,8.57658960963607
"PLA2G4A",-2.04902,-0.21711,-9.7292024067727,7.04981802758083e-08,4.29559785835896e-06,8.50924326725554
"SLC2A5",2.83982,0.51909,9.64379324647278,7.91109011583255e-08,4.75255398441541e-06,8.39343753831896
"SULT2B1",-2.31686,-0.02059,-9.63631129021241,7.99166275724205e-08,4.75255398441541e-06,8.38325338889975
"LINC00622",2.26792,0.42304,9.63306055416748,8.02693948929307e-08,4.75255398441541e-06,8.37882662755319
"CALML3",2.51016,0.29692,9.62102814003502,8.15895268145834e-08,4.7855688811993e-06,8.36243075093894
"PPP1R16B",2.3879,0.47367,9.60590980914056,8.32808305717852e-08,4.83954159878263e-06,8.34180647413127
"TCN2",1.88774,0.58393,9.59531075442437,8.44886224630856e-08,4.86263055491164e-06,8.32733178984267
"PBLD",2.194398,0.748601,9.58890315934996,8.52277503250925e-08,4.86263055491164e-06,8.31857497892723
"TGFBI",-2.22992,-0.28364,-9.5368826293375,9.14873553325241e-08,5.17274452312542e-06,8.2473080602707
"FUT6",2.5617872,0.6467064,9.50607491957046,9.54218765338714e-08,5.34703301005872e-06,8.20495558898235
"CYP4F11",1.97646,0.22281,9.49221057970034,9.72504810225862e-08,5.36367430436819e-06,8.18586007296605
"IYD",2.38674,0.37883,9.49087844798569,9.74281183393839e-08,5.36367430436819e-06,8.18402414354752
"MAF",3.13314,0.33243,9.47430864557685,9.96665442560651e-08,5.40875688809846e-06,8.16117067467254
"CALB1",4.57786,0.99687,9.47208789891009,9.99706499393597e-08,5.40875688809846e-06,8.15810535366018
"OGDHL",2.07902,0.90149,9.45348889175978,1.02556379028185e-07,5.50122935710161e-06,8.13241051059022
"PROX1",-2.2329,0.05097,-9.44076908120424,1.04365366003079e-07,5.55082234775699e-06,8.11481477577119
"PPL",-2.36322,-0.11591,-9.42527843699244,1.066140416755e-07,5.62277080298686e-06,8.09336067286904
"GK",2.04962,0.43039,9.36007605122196,1.1665537180619e-07,6.08298065351732e-06,8.00275063972922
"ELF3",-2.02436,-0.30422,-9.34748441582146,1.18707052072343e-07,6.08298065351732e-06,7.98519511607992
"KCNAB2",2.62546,0.26085,9.34657326391767,1.18856986194466e-07,6.08298065351732e-06,7.98392404775913
"GTF2H5",2.188,0.3436,9.34396579061542,1.19287163707955e-07,6.08298065351732e-06,7.98028605178424
"H1F0",-2.7928,-0.05624,-9.33854733242283,1.20186360904421e-07,6.08298065351732e-06,7.97272356548488
"ALDH6A1",2.486402,0.797799,9.30873217555944,1.25263944413895e-07,6.28925212113284e-06,7.93104915367574
"PLGLB1",2.22204,0.48858,9.29756934643213,1.27222853908989e-07,6.33690977089537e-06,7.91541929474438
"DAO",3.16908,0.37966,9.2681179590967,1.32548004378432e-07,6.52067458305697e-06,7.87411180598635
"ACMSD",2.8034,0.4895,9.26572888394658,1.32990176327484e-07,6.52067458305697e-06,7.87075648005182
"WNT5A",-2.11069,-0.615855,-9.25945511567424,1.34158761854763e-07,6.52697976279449e-06,7.86194210037449
"MT1G",2.946454,0.776773,9.21143569672163,1.43470258956415e-07,6.92630265546508e-06,7.79432238010195
"GPC1",1.98692,0.31274,9.20535333235037,1.44697506461108e-07,6.93222557671689e-06,7.78573781417122
"SLC37A4",1.93844,0.54418,9.15473343124257,1.55351436332828e-07,7.38625465473354e-06,7.71412258021006
"AGXT2",3.3006,0.5705,9.13085791011968,1.60661013130174e-07,7.58126705567646e-06,7.68023809540652
"SLC17A3",4.26282,0.83619,9.11607118108323,1.64045148942915e-07,7.68318921466965e-06,7.65921830377385
"SLPI",-3.5597,-0.13669,-9.08786863773171,1.70709999071705e-07,7.91593273651591e-06,7.61905471704949
"PROZ",3.23838,0.34521,9.07905774917086,1.7285032196283e-07,7.91593273651591e-06,7.60648740686772
"TTC38",1.80114,0.38163,9.07808790262052,1.73087639559043e-07,7.91593273651591e-06,7.60510350604278
"MT1H",2.95802,0.69279,9.07278173289934,1.74392140200206e-07,7.91593273651591e-06,7.59752997934712
"SLC47A1",2.58416,0.78232,9.0690289512222,1.75321008664071e-07,7.91593273651591e-06,7.59217156325577
"PDIA6",2.18952,0.49904,9.0547640282865,1.78899711409264e-07,8.01981849146102e-06,7.5717878634476
"CRNDE",-2.4096,-0.04838,-9.03882964293819,1.82988580157894e-07,8.14493850404923e-06,7.54898954479753
"GPR137B",1.74644,0.30698,9.00908339393583,1.90887846606953e-07,8.43670510778336e-06,7.50634751235959
"KLHL3",1.87236,0.41636,8.99245907956941,1.95458549098833e-07,8.57830667233759e-06,7.48246938017755
"RASSF4",2.39866,0.54787,8.93435711819878,2.12361827301094e-07,9.21966218297256e-06,7.39875119187059
"AGPAT3",1.922334,0.540233,8.93222721608883,2.13010040874924e-07,9.21966218297256e-06,7.39567442572429
"SLC2A1",-1.92,-0.3528,-8.90329413906092,2.22025317030686e-07,9.40020799054947e-06,7.35382395908897
"OTOF",3.33106,0.36253,8.90165246970561,2.22548767143896e-07,9.40020799054947e-06,7.35144628077651
"SLC38A3",2.19494,0.30531,8.90124150785277,2.22680006943603e-07,9.40020799054947e-06,7.35085102086069
"LIX1",-2.99376,-0.01328,-8.89970141034029,2.23172560642427e-07,9.40020799054947e-06,7.34862007411011
"JAM2",-2.03798,-0.28877,-8.86909001488894,2.33204915270112e-07,9.75729365490147e-06,7.3042167796274
"FUT3",3.06292,0.33694,8.8248089580365,2.48567458289227e-07,1.03311878690278e-05,7.23978099409396
"SH3GL3",-3.19386,0.25049,-8.79721864332471,2.58676281994045e-07,1.06806075381225e-05,7.19951044607847
"PDZD3",3.18302,0.46429,8.78711287863212,2.62486656586121e-07,1.07670997172189e-05,7.18473660240943
"COL8A1",2.85864,0.45008,8.77157848279442,2.68459766010337e-07,1.09406070875381e-05,7.1620018356671
"BBOX1",3.65232,1.05384,8.75158561555162,2.76358941411299e-07,1.11898626857891e-05,7.13269796000708
"GGTLC2",2.508728,0.646636,8.69415529979999,3.00443269549638e-07,1.20127481998572e-05,7.04824462304805
"TFEC",2.4758,0.3699,8.69400275234552,3.00510112711534e-07,1.20127481998572e-05,7.04801974844953
"FGFR4",1.72934,0.26205,8.64818002724618,3.21316312056121e-07,1.26339030605742e-05,6.98033927574169
"NOX4",3.63438,0.68541,8.64810651053345,3.21350887608781e-07,1.26339030605742e-05,6.98023047955385
"DPF3",2.07648,0.31114,8.64654112871157,3.2208803213701e-07,1.26339030605742e-05,6.97791373539355
"DDIT4L",-2.73456,0.17026,-8.61565527631015,3.37002807420996e-07,1.31368299340011e-05,6.93214010419021
"IQSEC3",2.07936,0.03298,8.60144319206996,3.44108815992364e-07,1.33310304269634e-05,6.91103709494542
"COLEC11",2.43388,0.41726,8.58421342639437,3.52936080194618e-07,1.35891217135057e-05,6.8854190845019
"COPB2",1.74266,0.31871,8.56918146429949,3.60832363522388e-07,1.3808438496747e-05,6.86303825126094
"SNAP29",1.60544,0.41658,8.53743361423749,3.78127877882486e-07,1.43826094641847e-05,6.81567546729315
"SLC8A1",2.21832,0.44804,8.51947703923112,3.88295161729527e-07,1.46616457119719e-05,6.78883052091187
"FAH",1.60198,0.12493,8.51627858662422,3.90136206803587e-07,1.46616457119719e-05,6.78404456262969
"TNS4",2.545266,-0.156167,8.49639393822959,4.01790250805769e-07,1.49234747545774e-05,6.75426128317464
"FTL",2.16014,0.43593,8.49627840696992,4.01859023824663e-07,1.49234747545774e-05,6.75408809318212
"XPNPEP2",3.85348,0.35706,8.48248814210199,4.10157833332482e-07,1.51420621293803e-05,6.73340324657917
"LYPD1",2.18152,0.51348,8.43710414295107,4.38768551838151e-07,1.61035756218493e-05,6.66515778145255
"ST3GAL1",1.83658,0.05583,8.41520124135975,4.53321831901701e-07,1.65409756803202e-05,6.63212742497727
"CRYM",2.38322,0.32369,8.40153565523817,4.62658814567284e-07,1.66448785765856e-05,6.61148808694588
"KYNU",1.718114,0.291723,8.3995811286691,4.64010715035979e-07,1.66448785765856e-05,6.60853417790913
"AKR1A1",1.84512,0.36354,8.39941496747265,4.64125836663876e-07,1.66448785765856e-05,6.60828303306962
"CRIP3",2.33834,0.18917,8.38592476389692,4.73573410783658e-07,1.68871973072627e-05,6.58788139555968
"ENTPD5",2.07414,0.46533,8.3804410803601,4.77471519028875e-07,1.69300070814984e-05,6.5795815729953
"MSRA",1.821832,0.549684,8.36941008968621,4.85415721537226e-07,1.71149947661103e-05,6.562873917001
"ILDR2",2.43212,0.24234,8.35779023262743,4.93934794304075e-07,1.73180713354881e-05,6.54525742076333
"TACSTD2",-3.21158,-0.03997,-8.31683146870041,5.25241647509341e-07,1.8313425443159e-05,6.48302230659123
"MRO",1.69144,0.38892,8.29871596118968,5.39748659478985e-07,1.87152629109951e-05,6.45542742886669
"B3GNT3",-2.80254,-0.35913,-8.29165888893655,5.45513702413453e-07,1.88112307491584e-05,6.44466607916372
"MT1F",2.58846,0.84537,8.25087380891243,5.801272354441e-07,1.98955110909682e-05,6.38234628330034
"AGT",2.42952,0.30028,8.22883602711278,5.99785953413865e-07,2.04579165414425e-05,6.34858251044299
"SLIT2",2.38824,0.1684,8.2198147619731,6.08034598116379e-07,2.06271629069103e-05,6.33474292035746
"CA4",1.93734,0.52347,8.20854491353859,6.18507419509491e-07,2.08696374453847e-05,6.31743885994877
"CLEC18B",3.81036,0.33542,8.20291394529025,6.23811160058945e-07,2.0936036580374e-05,6.30878669779279
"HAAO",1.92632,0.22082,8.19186822272597,6.3435459062103e-07,2.11766458017957e-05,6.29180257156095
"PTGIS",-1.992682,-0.716259,-8.18639390569585,6.39649358081952e-07,2.12404199540864e-05,6.28337924556415
"FAM211B",2.22168,0.23056,8.17670704596175,6.49132849585927e-07,2.14418829684278e-05,6.26846448734555
"STXBP6",-2.1516,0.094,-8.14958074438389,6.76485820765326e-07,2.22284031995978e-05,6.22663307026308
"FBLN2",-2.112598,-0.438101,-8.13929210330961,6.87175547018788e-07,2.24620506931766e-05,6.21074176127238
"FBP1",2.62858,0.32483,8.12480204449125,7.02533044121347e-07,2.28450641704952e-05,6.18833760599493
"MT1X",1.88936,0.57332,8.10691348133746,7.21992435269132e-07,2.33568274420055e-05,6.16064073545849
"SLC6A13",1.99782,0.52189,8.09908781902043,7.30682938624494e-07,2.34280512076877e-05,6.14851103043827
"FAM150B",2.01832,0.2863,8.09821414121964,7.3165998035481e-07,2.34280512076877e-05,6.14715633785436
"STRIP2",2.1118,0.41224,8.0928213383383,7.37721324014055e-07,2.35022285762041e-05,6.13879223264511
"SLC17A1",2.74984,0.71148,8.08823829260752,7.42914074296755e-07,2.35352825020898e-05,6.13168103137528
"DNAJC12",1.82292,0.18866,8.08530396857774,7.4625895760291e-07,2.35352825020898e-05,6.12712658724853
"EPHA2",-1.6405,-0.14545,-8.07515295226911,7.57953072543267e-07,2.37845674164077e-05,6.11136216811413
"PTGS2",-1.98606,-0.20531,-8.05351426230911,7.8352973755931e-07,2.44648389697623e-05,6.07771215731308
"HMOX1",2.16754,0.40823,8.04245479522187,7.96951195798801e-07,2.47607213110558e-05,6.06048987032903
"ENPEP",3.21752,0.12244,8.03722667747962,8.03379920494946e-07,2.48374994139226e-05,6.0523427896452
"CES2",1.845286,0.430897,8.01922157678605,8.25940660642899e-07,2.54098215009551e-05,6.02425741570059
"AHCY",1.7564,0.43834,8.01177883567708,8.35460453822755e-07,2.55542119477588e-05,6.01263527185924
"PTPRD",3.1738,0.19612,8.00920645031535,8.3877751135091e-07,2.55542119477588e-05,6.00861668087467
"FBXO2",-1.61724,0.13752,-8.0036106478321,8.46041185784334e-07,2.56509878356642e-05,5.99987186675571
"CRHBP",2.65684,-0.11618,7.99061808476958,8.63162753365295e-07,2.60442761544259e-05,5.97955178922707
"LOC100506088",-2.139454,-0.050493,-7.97734744079274,8.81027647056893e-07,2.64561220714309e-05,5.95877367584525
"CD109",1.51908,0.22576,7.96592093429079,8.9672171309776e-07,2.67991689114359e-05,5.94086422491507
"PDE7A",1.7762,0.25498,7.92982682684135,9.48257771093373e-07,2.82050510492038e-05,5.88417768343541
"ARSE",1.96572,0.47014,7.92649085001807,9.53175800421905e-07,2.82176005823013e-05,5.87892970363463
"SLC3A2",1.65232,0.42304,7.91357152657353,9.72476643581947e-07,2.86368709579443e-05,5.85859171445256
"GATM",2.47704,0.70048,7.91093591653137,9.76464369821555e-07,2.86368709579443e-05,5.85443992275839
"RAB3IL1",1.7676,0.11942,7.90033987348034,9.92670815055949e-07,2.88458954925179e-05,5.83773895868593
"CUBN",2.32958,0.64481,7.89922350755589,9.94394677172829e-07,2.88458954925179e-05,5.83597852432983
"CYP4F8",1.66194,-0.05507,7.89729478125099,9.97380389081642e-07,2.88458954925179e-05,5.83293665972703
"SRPX2",-1.51688,-0.25438,-7.8842416123038,1.01783650486926e-06,2.93024858007316e-05,5.81233696359447
"DENND5B",1.90476,0.33492,7.85526382443098,1.0648423777686e-06,3.05157569081083e-05,5.7665245594685
"GPX3",2.66948,0.46546,7.84315963409621,1.08514812824541e-06,3.09563166039464e-05,5.74735514792799
"CHDH",1.68674,0.65583,7.83656975796954,1.09637402487474e-06,3.11350379190673e-05,5.73691049825896
"SLCO2A1",2.73568,-0.05954,7.82586254557146,1.11487504943959e-06,3.15178189652381e-05,5.71992763419926
"CTXN3",3.12916,0.45182,7.81953729646991,1.12595849311512e-06,3.16326805565572e-05,5.70988783288507
"SDHAP1",1.76454,0.40079,7.81780247184344,1.12901855396253e-06,3.16326805565572e-05,5.70713327976826
"DHRS4",2.14456,0.40826,7.80478978138777,1.15225237800802e-06,3.21401596639038e-05,5.6864588457462
"TM4SF5",1.9377,0.24487,7.7967470912948,1.16686336998892e-06,3.24036925223471e-05,5.67366931454635
"PCK1",3.09476,0.85202,7.77553268966241,1.20634568213767e-06,3.33525352471189e-05,5.63989228619232
"NAT8",3.409032,0.761884,7.76950092021226,1.21782614907429e-06,3.35222671560975e-05,5.63027758897785
"CD36",-2.33664,-0.27634,-7.76252120138511,1.23125441744656e-06,3.36564814019412e-05,5.61914573062888
"TBC1D16",-1.55474,0.29159,-7.76115124159631,1.23390831020172e-06,3.36564814019412e-05,5.6169600292466
"PEPD",2.29858,0.43311,7.75694540305125,1.24209352562996e-06,3.36564814019412e-05,5.61024824558616
"ACO1",1.71854,0.38131,7.75589180855594,1.24415291351981e-06,3.36564814019412e-05,5.60856651905267
"LGALS2",3.55066,0.48487,7.753071229208,1.24968379450582e-06,3.36610107052298e-05,5.60406362934024
"PDZK1IP1",3.34198,0.69361,7.74645375492911,1.26276174242778e-06,3.38679175020375e-05,5.59349500493703
"CPNE6",2.35772,0.45936,7.73412044825158,1.2875212520716e-06,3.43398950151096e-05,5.57378197013998
"LGMN",1.71042,0.20589,7.72967097713404,1.29657855143388e-06,3.43398950151096e-05,5.56666508023352
"SEMA4A",-1.9156,0.04308,-7.72483451894176,1.3064996243029e-06,3.43398950151096e-05,5.55892617300507
"GALK2",1.47706,0.32129,7.72468171027161,1.30681437985879e-06,3.43398950151096e-05,5.55868160946273
"NELL1",-1.50118,-0.21355,-7.72385918134523,1.30850999640194e-06,3.43398950151096e-05,5.55736513393436
"SUSD3",1.73548,0.32304,7.72159518761403,1.31318910191624e-06,3.43398950151096e-05,5.55374109007195
"REEP6",1.67058,0.07763,7.70854225218572,1.34051153393009e-06,3.49089227674076e-05,5.53283333728407
"ABAT",1.61602,0.20515,7.70506632323279,1.34788766752093e-06,3.49559628155429e-05,5.52726182429124
"ACSM2B",4.251528,0.874436,7.69458273867756,1.37039401648453e-06,3.53933862035264e-05,5.510447941386
"SLC13A1",4.1039,0.71285,7.68099449120233,1.40015495580506e-06,3.59381129379705e-05,5.48863255310282
"NPR3",2.4664972,0.6464714,7.67973945171394,1.40293780589592e-06,3.59381129379705e-05,5.48661637488146
"VCAN",-2.44254,-0.42269,-7.6658175109412,1.43420038106553e-06,3.65895999657205e-05,5.46423692287287
"ECHS1",1.75832,0.48022,7.65008916679756,1.47040223664421e-06,3.73613135108463e-05,5.43892204204897
"Mar-02",1.59584,0.69328,7.63920770240013,1.49600929073757e-06,3.78586867285041e-05,5.42138858409261
"ALAD",1.6449,0.46629,7.6303599366729,1.5171758866272e-06,3.82401440340254e-05,5.40712019022392
"PDLIM4",1.74006,0.08623,7.61748825303723,1.54853269950384e-06,3.88418865277809e-05,5.38634359235831
"IGF2",-2.923048,-0.360056,-7.6155035632194,1.5534279028797e-06,3.88418865277809e-05,5.38313803460883
"MFI2",-3.5204,0.05246,-7.58561235276535,1.62915375817607e-06,4.05736864536231e-05,5.33479456921367
